matricula_bici,pais,ciudad,numero_localizacion_origen,numero_localizacion_destino,inicio_utc,fin_utc,duracion_min,coste_eur,tipo_bici,bateria_inicio_pct,bateria_fin_pct,distancia_km,incidencia,tarifa
EB-BCN-001499,ES,Barcelona,327,251,2024-08-03 09:58:24+00:00,2024-08-03 10:02:24+00:00,4,0.6,electric,53.0,50.0,0.73,none,plus
EB-BER-001011,DE,Berlin,130,543,2024-04-19 04:42:13+00:00,2024-04-19 04:52:13+00:00,10,0.3,electric,91.0,84.0,2.94,none,payg
EB-WAW-001102,PL,Warsaw,345,665,2024-03-17 03:47:52+00:00,2024-03-17 03:51:52+00:00,4,0.3,electric,84.0,81.0,0.97,none,payg
EB-BCN-004801,ES,Barcelona,54,53,2024-08-26 07:57:11+00:00,2024-08-26 08:10:11+00:00,13,1.64,electric,78.0,69.0,4.37,none,standard
EB-HEL-004266,FI,Helsinki,560,579,2025-04-13 13:09:25+00:00,2025-04-13 13:17:25+00:00,8,0.6,electric,55.0,50.0,2.0,none,plus
EB-VIE-004536,AT,Vienna,199,50,2024-09-06 20:51:40+00:00,2024-09-06 21:05:40+00:00,14,0.3,electric,82.0,75.0,3.49,none,payg
EB-VIE-002048,AT,Vienna,73,711,2025-07-24 06:04:53+00:00,2025-07-24 06:22:53+00:00,18,0.45,mechanical,,,3.77,none,payg
EB-BCN-001400,ES,Barcelona,792,643,2025-08-11 23:15:49+00:00,2025-08-11 23:45:49+00:00,30,2.25,mechanical,,,7.41,none,standard
EB-LIS-000224,PT,Lisbon,499,697,2025-08-15 23:33:03+00:00,2025-08-15 23:37:03+00:00,4,0.3,electric,33.0,31.0,0.82,none,payg
EB-BER-000725,DE,Berlin,621,540,2025-08-06 19:01:34+00:00,2025-08-06 19:15:34+00:00,14,1.72,electric,25.0,19.0,1.72,none,standard
EB-MAD-003995,ES,Madrid,538,388,2025-01-04 09:22:15+00:00,2025-01-04 10:09:15+00:00,47,3.56,electric,39.0,0.0,12.56,none,plus
EB-PAR-000236,FR,Paris,72,391,2025-01-07 09:06:36+00:00,2025-01-07 09:30:36+00:00,24,0.83,mechanical,,,4.46,none,payg
EB-MUC-000206,DE,Munich,47,650,2025-03-18 04:34:18+00:00,2025-03-18 04:57:18+00:00,23,1.9,mechanical,,,4.05,none,standard
EB-VIE-000769,AT,Vienna,434,137,2024-12-27 12:19:20+00:00,2024-12-27 13:03:20+00:00,44,2.95,mechanical,,,13.22,none,standard
EB-LIS-001966,PT,Lisbon,27,397,2024-09-26 12:48:15+00:00,2024-09-26 14:56:15+00:00,128,10.04,electric,73.0,9.0,29.24,none,plus
EB-MUC-003954,DE,Munich,309,114,2025-02-18 06:52:41+00:00,2025-02-18 07:05:41+00:00,13,0.84,electric,89.0,83.0,2.73,none,plus
EB-DUB-003677,IE,Dublin,660,695,2025-10-04 19:00:39+00:00,2025-10-04 19:13:39+00:00,13,1.64,electric,52.0,41.0,3.49,none,standard
EB-DUB-004141,IE,Dublin,703,82,2024-04-01 05:41:53+00:00,2024-04-01 05:59:53+00:00,18,2.04,electric,83.0,74.0,3.55,none,standard
EB-MAD-000025,ES,Madrid,257,354,2025-08-01 18:50:37+00:00,2025-08-01 19:02:37+00:00,12,1.56,electric,70.0,64.0,2.08,none,standard
EB-AMS-004199,NL,Amsterdam,372,672,2024-02-11 01:26:02+00:00,2024-02-11 01:37:02+00:00,11,0.32,electric,54.0,46.0,2.46,none,payg
EB-STO-001611,SE,Stockholm,705,726,2025-02-10 02:12:39+00:00,2025-02-10 02:33:39+00:00,21,0.6,mechanical,,,3.97,none,payg
EB-PAR-002808,FR,Paris,708,41,2024-12-08 12:43:17+00:00,2024-12-08 12:49:17+00:00,6,0.66,electric,34.0,30.0,1.47,none,plus
EB-VIE-004703,AT,Vienna,717,742,2025-12-20 03:15:49+00:00,2025-12-20 03:17:49+00:00,2,1.0,mechanical,,,0.45,none,standard
EB-PAR-002101,FR,Paris,262,657,2025-06-09 06:56:24+00:00,2025-06-09 07:10:24+00:00,14,0.33,electric,87.0,79.0,2.3,none,payg
EB-DUB-002535,IE,Dublin,694,799,2025-03-15 07:37:12+00:00,2025-03-15 07:53:12+00:00,16,0.9,mechanical,,,3.43,none,plus
EB-HEL-001977,FI,Helsinki,532,150,2024-07-31 12:15:48+00:00,2024-07-31 12:35:48+00:00,20,1.75,mechanical,,,4.76,none,standard
EB-HEL-002782,FI,Helsinki,138,60,2024-09-04 10:46:56+00:00,2024-09-04 10:54:56+00:00,8,0.3,mechanical,,,1.47,none,payg
EB-MUC-000946,DE,Munich,292,410,2024-02-24 06:42:51+00:00,2024-02-24 06:58:51+00:00,16,0.35,mechanical,,,4.86,none,payg
EB-HEL-001899,FI,Helsinki,339,496,2025-12-22 15:10:53+00:00,2025-12-22 15:20:53+00:00,10,0.3,mechanical,,,1.64,none,payg
EB-ZRH-003522,CH,Zurich,521,431,2024-09-15 03:16:58+00:00,2024-09-15 03:24:58+00:00,8,0.75,electric,49.0,44.0,2.09,none,plus
EB-AMS-000576,NL,Amsterdam,350,166,2025-05-08 13:41:36+00:00,2025-05-08 14:42:36+00:00,61,4.91,electric,81.0,25.0,14.64,battery_swap,plus
EB-PRG-002045,CZ,Prague,279,291,2025-07-05 11:29:10+00:00,2025-07-05 11:39:10+00:00,10,0.3,electric,89.0,85.0,1.7,none,payg
EB-MUC-001418,DE,Munich,347,32,2024-10-11 21:54:34+00:00,2024-10-11 22:29:34+00:00,35,1.85,mechanical,,,4.5,none,plus
EB-VIE-003342,AT,Vienna,477,520,2024-06-12 08:56:03+00:00,2024-06-12 09:03:03+00:00,7,1.1,mechanical,,,1.38,vandalism,standard
EB-BUD-005000,HU,Budapest,438,560,2025-12-21 11:22:16+00:00,2025-12-21 11:56:16+00:00,34,3.32,electric,24.0,0.0,7.09,none,standard
EB-MUC-004649,DE,Munich,453,275,2024-12-03 00:51:30+00:00,2024-12-03 01:02:30+00:00,11,0.3,electric,61.0,51.0,3.97,none,payg
EB-BRU-003751,BE,Brussels,218,373,2024-10-13 11:05:50+00:00,2024-10-13 11:10:50+00:00,5,1.0,electric,32.0,28.0,1.33,none,standard
EB-PRG-003606,CZ,Prague,305,43,2024-11-13 04:19:17+00:00,2024-11-13 04:55:17+00:00,36,1.35,mechanical,,,9.29,none,payg
EB-AMS-004625,NL,Amsterdam,523,127,2024-03-24 17:04:56+00:00,2024-03-24 17:15:56+00:00,11,0.32,electric,31.0,22.0,3.04,none,payg
EB-MUC-003623,DE,Munich,648,346,2025-04-21 22:40:35+00:00,2025-04-21 23:23:35+00:00,43,2.54,electric,53.0,8.0,12.89,none,payg
EB-MUC-003115,DE,Munich,539,456,2024-02-21 20:27:48+00:00,2024-02-21 21:17:48+00:00,50,3.1,electric,79.0,45.0,12.62,none,payg
EB-HEL-003745,FI,Helsinki,270,789,2024-08-24 15:39:32+00:00,2024-08-24 15:48:32+00:00,9,0.6,electric,46.0,42.0,1.95,none,plus
EB-WAW-000474,PL,Warsaw,390,549,2024-10-16 13:02:36+00:00,2024-10-16 13:51:36+00:00,49,3.72,electric,76.0,34.0,11.35,none,plus
EB-MUC-000558,DE,Munich,310,281,2025-01-09 21:36:04+00:00,2025-01-09 21:45:04+00:00,9,0.6,electric,31.0,25.0,2.31,none,plus
EB-ROM-003734,IT,Rome,793,782,2025-06-15 10:54:57+00:00,2025-06-15 10:58:57+00:00,4,0.3,mechanical,,,0.88,none,payg
EB-PAR-003734,FR,Paris,757,514,2025-06-14 16:02:25+00:00,2025-06-14 16:06:25+00:00,4,1.1,electric,39.0,35.0,1.13,none,standard
EB-VIE-001749,AT,Vienna,170,711,2024-08-16 12:59:11+00:00,2024-08-16 13:17:11+00:00,18,2.04,electric,21.0,10.0,3.99,none,standard
EB-DUB-000872,IE,Dublin,606,172,2024-02-25 17:14:22+00:00,2024-02-25 17:46:22+00:00,32,2.35,mechanical,,,6.43,none,standard
EB-ROM-003931,IT,Rome,660,587,2024-03-31 10:58:56+00:00,2024-03-31 11:09:56+00:00,11,0.3,mechanical,,,1.48,none,payg
EB-ROM-004045,IT,Rome,573,333,2025-08-15 13:58:21+00:00,2025-08-15 14:10:21+00:00,12,1.35,mechanical,,,2.97,none,standard
EB-BER-004014,DE,Berlin,121,768,2025-11-15 09:51:24+00:00,2025-11-15 09:59:24+00:00,8,0.3,electric,39.0,34.0,1.88,none,payg
EB-BUD-001008,HU,Budapest,299,305,2025-06-28 17:17:36+00:00,2025-06-28 17:30:36+00:00,13,0.75,mechanical,,,3.08,none,plus
EB-LIS-001428,PT,Lisbon,262,366,2024-08-31 12:02:27+00:00,2024-08-31 12:27:27+00:00,25,2.6,electric,94.0,84.0,4.75,none,standard
EB-HEL-001600,FI,Helsinki,63,14,2024-08-13 19:04:50+00:00,2024-08-13 19:25:50+00:00,21,1.8,mechanical,,,3.65,none,standard
EB-ZRH-002739,CH,Zurich,647,305,2025-03-30 14:57:55+00:00,2025-03-30 15:02:55+00:00,5,1.25,electric,26.0,23.0,1.39,none,standard
EB-ZRH-002293,CH,Zurich,361,451,2025-10-16 19:11:11+00:00,2025-10-16 19:15:11+00:00,4,0.38,electric,73.0,70.0,1.05,none,payg
EB-BUD-003157,HU,Budapest,352,736,2025-02-21 14:18:50+00:00,2025-02-21 14:32:50+00:00,14,0.3,electric,28.0,11.0,5.29,none,payg
EB-BRU-003086,BE,Brussels,457,672,2024-03-14 07:56:43+00:00,2024-03-14 08:29:43+00:00,33,1.74,electric,78.0,60.0,7.96,none,payg
EB-BRU-003259,BE,Brussels,651,127,2024-07-18 08:31:58+00:00,2024-07-18 08:46:58+00:00,15,1.5,mechanical,,,2.64,none,standard
EB-MAD-002839,ES,Madrid,688,159,2024-01-09 06:38:13+00:00,2024-01-09 07:46:13+00:00,68,4.54,electric,37.0,0.0,18.88,none,payg
EB-VIE-001005,AT,Vienna,11,307,2024-08-22 05:14:02+00:00,2024-08-22 05:20:02+00:00,6,1.08,electric,42.0,37.0,1.99,none,standard
EB-OSL-001898,NO,Oslo,591,653,2025-04-13 08:56:48+00:00,2025-04-13 09:01:48+00:00,5,0.36,electric,28.0,24.0,1.24,none,payg
EB-OSL-000261,NO,Oslo,200,732,2025-12-24 06:49:43+00:00,2025-12-24 06:58:43+00:00,9,0.36,electric,94.0,85.0,2.16,none,payg
EB-ATH-001332,GR,Athens,411,159,2024-07-26 20:42:47+00:00,2024-07-26 21:49:47+00:00,67,2.9,mechanical,,,11.95,none,payg
EB-DUB-004118,IE,Dublin,537,225,2025-04-27 20:44:06+00:00,2025-04-27 21:23:06+00:00,39,2.7,mechanical,,,4.26,none,standard
EB-ATH-004761,GR,Athens,455,735,2024-05-16 09:57:51+00:00,2024-05-16 10:13:51+00:00,16,1.55,mechanical,,,3.19,none,standard
EB-DUB-002057,IE,Dublin,724,13,2024-11-10 22:32:11+00:00,2024-11-10 22:38:11+00:00,6,1.08,electric,74.0,72.0,0.8,none,standard
EB-OSL-002026,NO,Oslo,80,369,2025-03-16 22:45:34+00:00,2025-03-16 22:54:34+00:00,9,0.36,electric,31.0,27.0,1.1,none,payg
EB-WAW-003499,PL,Warsaw,503,165,2024-02-16 11:32:42+00:00,2024-02-16 11:45:42+00:00,13,0.3,electric,75.0,65.0,3.81,none,payg
EB-MAD-004236,ES,Madrid,694,458,2024-03-25 16:40:31+00:00,2024-03-25 16:51:31+00:00,11,1.48,electric,80.0,72.0,2.48,accident_minor,standard
EB-HEL-002651,FI,Helsinki,357,707,2025-05-13 10:59:06+00:00,2025-05-13 11:36:06+00:00,37,2.06,electric,78.0,60.0,6.69,none,payg
EB-VIE-000262,AT,Vienna,712,379,2025-03-27 17:17:55+00:00,2025-03-27 17:26:55+00:00,9,0.3,mechanical,,,2.31,none,payg
EB-ATH-004208,GR,Athens,160,274,2025-05-29 19:48:55+00:00,2025-05-29 19:55:55+00:00,7,0.3,electric,92.0,85.0,1.87,none,payg
EB-CPH-002528,DK,Copenhagen,785,392,2024-08-14 07:46:39+00:00,2024-08-14 08:00:39+00:00,14,1.98,electric,59.0,50.0,2.6,none,standard
EB-DUB-002195,IE,Dublin,242,503,2025-03-11 00:03:04+00:00,2025-03-11 00:12:04+00:00,9,1.32,electric,67.0,61.0,2.04,none,standard
EB-MUC-000519,DE,Munich,679,424,2025-01-25 10:57:50+00:00,2025-01-25 11:06:50+00:00,9,0.3,electric,92.0,86.0,2.63,none,payg
EB-ATH-002836,GR,Athens,593,6,2025-07-23 02:37:24+00:00,2025-07-23 02:46:24+00:00,9,1.2,mechanical,,,1.67,none,standard
EB-MUC-004614,DE,Munich,510,62,2025-04-01 11:14:17+00:00,2025-04-01 11:40:17+00:00,26,2.68,electric,96.0,77.0,4.82,none,standard
EB-STO-001035,SE,Stockholm,288,372,2024-11-01 02:08:55+00:00,2024-11-01 02:23:55+00:00,15,1.8,electric,40.0,25.0,4.61,battery_swap,standard
EB-LIS-000872,PT,Lisbon,629,393,2024-10-24 15:51:16+00:00,2024-10-24 16:03:16+00:00,12,0.3,electric,73.0,60.0,3.28,none,payg
EB-CPH-003866,DK,Copenhagen,635,94,2025-09-30 14:48:59+00:00,2025-09-30 14:54:59+00:00,6,1.21,mechanical,,,0.74,none,standard
EB-BUD-000209,HU,Budapest,293,757,2024-09-27 21:01:39+00:00,2024-09-27 21:12:39+00:00,11,1.3,mechanical,,,2.34,none,standard
EB-WAW-002895,PL,Warsaw,347,371,2025-04-03 06:57:35+00:00,2025-04-03 07:35:35+00:00,38,2.14,electric,77.0,53.0,6.59,none,payg
EB-BUD-003016,HU,Budapest,41,83,2024-01-22 02:39:27+00:00,2024-01-22 02:59:27+00:00,20,2.2,electric,92.0,83.0,3.33,none,standard
EB-ATH-000218,GR,Athens,416,244,2025-12-01 05:36:55+00:00,2025-12-01 06:01:55+00:00,25,2.6,electric,91.0,64.0,6.96,none,standard
EB-AMS-004276,NL,Amsterdam,648,329,2025-12-05 02:04:46+00:00,2025-12-05 02:29:46+00:00,25,2.73,electric,22.0,7.0,6.52,brake,standard
EB-BUD-001994,HU,Budapest,757,755,2024-12-06 14:54:42+00:00,2024-12-06 15:12:42+00:00,18,0.45,mechanical,,,3.14,none,payg
EB-ATH-000268,GR,Athens,706,219,2025-06-04 13:04:14+00:00,2025-06-04 13:31:14+00:00,27,0.9,mechanical,,,4.58,none,payg
EB-VIE-004520,AT,Vienna,270,29,2024-11-12 16:52:21+00:00,2024-11-12 16:59:21+00:00,7,1.1,mechanical,,,1.29,none,standard
EB-LIS-002813,PT,Lisbon,373,101,2025-06-15 17:29:44+00:00,2025-06-15 17:37:44+00:00,8,1.24,electric,78.0,69.0,2.33,none,standard
EB-AMS-001153,NL,Amsterdam,532,510,2024-10-16 16:01:41+00:00,2024-10-16 16:26:41+00:00,25,2.1,mechanical,,,7.42,none,standard
EB-BCN-004886,ES,Barcelona,760,391,2024-03-09 19:43:25+00:00,2024-03-09 19:49:25+00:00,6,1.08,electric,62.0,58.0,1.2,none,standard
EB-CPH-003939,DK,Copenhagen,562,527,2024-01-23 14:01:12+00:00,2024-01-23 14:56:12+00:00,55,4.02,mechanical,,,9.17,none,standard
EB-STO-003997,SE,Stockholm,107,494,2024-11-14 23:41:27+00:00,2024-11-15 00:06:27+00:00,25,2.6,electric,51.0,31.0,7.26,none,standard
EB-BER-003022,DE,Berlin,574,99,2025-05-31 23:41:03+00:00,2025-05-31 23:43:03+00:00,2,0.3,electric,28.0,27.0,0.42,none,payg
EB-STO-000982,SE,Stockholm,624,587,2025-11-01 17:46:35+00:00,2025-11-01 18:26:35+00:00,40,3.8,electric,37.0,4.0,11.22,none,standard
EB-ZRH-003855,CH,Zurich,110,599,2025-06-29 12:07:52+00:00,2025-06-29 12:15:52+00:00,8,1.55,electric,61.0,55.0,2.02,none,standard
EB-LIS-003657,PT,Lisbon,536,388,2025-02-23 20:11:53+00:00,2025-02-23 20:20:53+00:00,9,0.3,electric,99.0,91.0,2.56,none,payg
EB-MUC-003231,DE,Munich,665,3,2024-03-24 05:37:33+00:00,2024-03-24 05:53:33+00:00,16,0.35,mechanical,,,3.7,none,payg
EB-CPH-003732,DK,Copenhagen,370,174,2025-01-18 10:55:04+00:00,2025-01-18 11:18:04+00:00,23,1.08,electric,67.0,55.0,5.15,none,payg
EB-MAD-004762,ES,Madrid,34,759,2025-11-15 23:07:19+00:00,2025-11-15 23:15:19+00:00,8,1.24,electric,32.0,26.0,1.75,none,standard
EB-MAD-002589,ES,Madrid,660,55,2025-09-01 18:15:20+00:00,2025-09-01 18:37:20+00:00,22,0.86,electric,22.0,7.0,7.35,none,payg
EB-ATH-000196,GR,Athens,619,130,2024-04-21 20:40:13+00:00,2024-04-21 20:55:13+00:00,15,1.0,electric,88.0,68.0,5.47,none,plus
EB-WAW-004589,PL,Warsaw,488,784,2024-08-07 10:56:54+00:00,2024-08-07 11:00:54+00:00,4,0.6,mechanical,,,0.69,flat_tire,plus
EB-ZRH-000554,CH,Zurich,42,253,2025-05-26 07:25:58+00:00,2025-05-26 07:28:58+00:00,3,0.75,electric,74.0,72.0,0.58,none,plus
EB-HEL-004050,FI,Helsinki,501,616,2024-03-25 10:25:46+00:00,2024-03-25 10:39:46+00:00,14,1.72,electric,89.0,77.0,3.05,none,standard
EB-ZRH-002710,CH,Zurich,140,632,2025-03-30 10:58:59+00:00,2025-03-30 11:59:59+00:00,61,3.94,mechanical,,,10.24,none,plus
EB-BUD-003336,HU,Budapest,542,799,2025-04-20 01:48:47+00:00,2025-04-20 02:00:47+00:00,12,0.3,mechanical,,,2.26,none,payg
EB-AMS-001290,NL,Amsterdam,53,450,2024-08-06 04:35:11+00:00,2024-08-06 04:50:11+00:00,15,1.89,electric,60.0,45.0,4.45,none,standard
EB-PRG-004613,CZ,Prague,306,103,2024-01-26 22:20:31+00:00,2024-01-26 22:36:31+00:00,16,1.55,mechanical,,,3.03,none,standard
EB-CPH-001543,DK,Copenhagen,299,187,2025-06-29 03:58:40+00:00,2025-06-29 04:02:40+00:00,4,0.34,electric,99.0,97.0,0.76,none,payg
EB-ZRH-000891,CH,Zurich,667,86,2025-08-29 21:41:18+00:00,2025-08-29 22:15:18+00:00,34,1.56,mechanical,,,6.18,none,payg
EB-BCN-004931,ES,Barcelona,459,93,2024-05-10 07:51:18+00:00,2024-05-10 07:58:18+00:00,7,1.16,electric,40.0,35.0,1.55,none,standard
EB-BUD-002689,HU,Budapest,301,183,2024-04-25 21:15:19+00:00,2024-04-25 22:06:19+00:00,51,2.1,mechanical,,,10.14,none,payg
EB-BER-001211,DE,Berlin,232,124,2024-11-02 17:28:43+00:00,2024-11-02 18:34:43+00:00,66,5.88,electric,75.0,4.0,18.55,none,standard
EB-BRU-000781,BE,Brussels,773,170,2024-12-28 19:25:44+00:00,2024-12-28 19:29:44+00:00,4,0.6,electric,83.0,79.0,1.2,none,plus
EB-WAW-002649,PL,Warsaw,356,473,2024-02-20 06:13:36+00:00,2024-02-20 06:33:36+00:00,20,0.7,electric,82.0,68.0,6.17,none,payg
EB-STO-002128,SE,Stockholm,235,696,2025-05-24 06:18:00+00:00,2025-05-24 06:35:00+00:00,17,1.96,electric,72.0,64.0,3.58,none,standard
EB-HEL-002290,FI,Helsinki,151,438,2024-10-23 09:16:30+00:00,2024-10-23 09:19:30+00:00,3,1.0,mechanical,,,0.58,none,standard
EB-BCN-003589,ES,Barcelona,637,118,2024-01-22 11:14:14+00:00,2024-01-22 11:22:14+00:00,8,0.3,electric,58.0,53.0,1.41,battery_swap,payg
EB-BER-000632,DE,Berlin,184,752,2024-05-18 06:37:42+00:00,2024-05-18 06:44:42+00:00,7,0.6,electric,97.0,93.0,1.67,none,plus
EB-CPH-001182,DK,Copenhagen,615,47,2024-12-31 04:54:42+00:00,2024-12-31 05:17:42+00:00,23,1.89,electric,53.0,39.0,6.67,none,plus
EB-STO-000518,SE,Stockholm,226,478,2024-08-23 04:13:04+00:00,2024-08-23 04:35:04+00:00,22,0.86,electric,24.0,7.0,5.18,none,payg
EB-BUD-000670,HU,Budapest,485,112,2024-09-09 08:15:27+00:00,2024-09-09 09:03:27+00:00,48,1.95,mechanical,,,12.41,none,payg
EB-MAD-003226,ES,Madrid,299,635,2024-03-07 22:16:54+00:00,2024-03-07 22:27:54+00:00,11,0.68,electric,57.0,48.0,2.49,none,plus
EB-WAW-001517,PL,Warsaw,506,193,2025-01-13 22:09:35+00:00,2025-01-13 22:40:35+00:00,31,2.28,electric,95.0,66.0,8.92,none,plus
EB-LIS-004003,PT,Lisbon,668,386,2025-11-19 16:11:05+00:00,2025-11-19 16:33:05+00:00,22,1.85,mechanical,,,5.73,none,standard
EB-OSL-002934,NO,Oslo,782,662,2025-06-06 01:13:43+00:00,2025-06-06 01:42:43+00:00,29,1.2,mechanical,,,5.78,none,payg
EB-ZRH-004691,CH,Zurich,361,10,2024-09-29 03:03:09+00:00,2024-09-29 03:09:09+00:00,6,1.35,electric,55.0,50.0,1.57,none,standard
EB-ZRH-002686,CH,Zurich,129,535,2024-12-29 21:29:26+00:00,2024-12-29 21:31:26+00:00,2,0.38,electric,36.0,34.0,0.6,none,payg
EB-CPH-003775,DK,Copenhagen,93,600,2024-10-19 10:04:40+00:00,2024-10-19 10:07:40+00:00,3,0.69,mechanical,,,0.67,none,plus
EB-BCN-003221,ES,Barcelona,513,55,2024-10-14 13:13:43+00:00,2024-10-14 13:34:43+00:00,21,1.8,mechanical,,,4.3,none,standard
EB-BRU-004237,BE,Brussels,5,132,2024-08-17 14:33:17+00:00,2024-08-17 14:42:17+00:00,9,1.2,mechanical,,,1.61,none,standard
EB-BUD-001892,HU,Budapest,109,364,2024-11-19 13:28:36+00:00,2024-11-19 14:28:36+00:00,60,2.55,mechanical,,,12.13,none,payg
EB-BCN-002605,ES,Barcelona,334,320,2025-11-04 12:41:47+00:00,2025-11-04 12:49:47+00:00,8,1.15,mechanical,,,1.57,none,standard
EB-PRG-001448,CZ,Prague,161,119,2025-11-17 21:16:10+00:00,2025-11-17 22:01:10+00:00,45,1.8,mechanical,,,4.05,none,payg
EB-ROM-000385,IT,Rome,680,360,2024-03-26 04:36:35+00:00,2024-03-26 04:41:35+00:00,5,0.3,mechanical,,,0.91,none,payg
EB-LIS-004501,PT,Lisbon,217,379,2024-08-27 18:16:42+00:00,2024-08-27 19:16:42+00:00,60,5.4,electric,55.0,1.0,14.49,none,standard
EB-PAR-000229,FR,Paris,451,739,2024-05-15 07:56:19+00:00,2024-05-15 08:12:19+00:00,16,2.07,electric,75.0,58.0,5.2,none,standard
EB-WAW-000910,PL,Warsaw,92,52,2024-06-09 02:34:27+00:00,2024-06-09 03:20:27+00:00,46,4.28,electric,67.0,22.0,12.24,none,standard
EB-PRG-004077,CZ,Prague,427,368,2024-05-11 22:53:53+00:00,2024-05-11 23:21:53+00:00,28,2.04,electric,58.0,40.0,7.33,none,plus
EB-ATH-001077,GR,Athens,6,690,2024-11-24 19:38:49+00:00,2024-11-24 19:41:49+00:00,3,1.0,mechanical,,,0.52,none,standard
EB-DUB-003845,IE,Dublin,167,360,2025-06-15 11:24:39+00:00,2025-06-15 11:54:39+00:00,30,2.25,mechanical,,,3.76,none,standard
EB-PAR-002437,FR,Paris,250,246,2025-09-16 11:22:51+00:00,2025-09-16 11:49:51+00:00,27,2.31,mechanical,,,3.38,none,standard
EB-CPH-003517,DK,Copenhagen,692,753,2024-10-27 21:20:54+00:00,2024-10-27 22:05:54+00:00,45,2.07,mechanical,,,10.7,none,payg
EB-LIS-003034,PT,Lisbon,261,444,2025-01-07 22:08:15+00:00,2025-01-07 22:49:15+00:00,41,3.88,electric,68.0,27.0,11.3,none,standard
EB-ROM-003157,IT,Rome,696,658,2025-08-30 09:33:49+00:00,2025-08-30 09:49:49+00:00,16,1.55,mechanical,,,4.12,brake,standard
EB-LIS-001941,PT,Lisbon,305,253,2025-06-29 12:01:34+00:00,2025-06-29 12:07:34+00:00,6,0.6,electric,77.0,73.0,1.69,none,plus
EB-HEL-000030,FI,Helsinki,326,309,2025-09-18 21:35:27+00:00,2025-09-18 22:22:27+00:00,47,4.36,electric,97.0,64.0,11.56,none,standard
EB-ATH-000462,GR,Athens,429,797,2025-10-22 04:58:17+00:00,2025-10-22 05:46:17+00:00,48,2.94,electric,40.0,18.0,8.97,none,payg
EB-BCN-004968,ES,Barcelona,544,793,2024-07-01 18:21:51+00:00,2024-07-01 18:34:51+00:00,13,0.3,mechanical,,,1.42,none,payg
EB-HEL-003673,FI,Helsinki,58,790,2024-11-18 22:51:19+00:00,2024-11-18 23:20:19+00:00,29,2.92,electric,86.0,54.0,8.44,none,standard
EB-MAD-000349,ES,Madrid,321,283,2025-10-25 17:03:22+00:00,2025-10-25 17:08:22+00:00,5,0.3,mechanical,,,0.56,none,payg
EB-MUC-001224,DE,Munich,287,248,2024-03-16 08:35:06+00:00,2024-03-16 09:01:06+00:00,26,2.68,electric,89.0,72.0,5.04,none,standard
EB-PRG-001443,CZ,Prague,720,535,2024-06-14 16:45:12+00:00,2024-06-14 17:03:12+00:00,18,0.54,electric,84.0,76.0,3.83,none,payg
EB-LIS-001447,PT,Lisbon,232,233,2024-05-20 10:37:27+00:00,2024-05-20 10:44:27+00:00,7,0.6,electric,50.0,44.0,2.43,none,plus
EB-LIS-001883,PT,Lisbon,364,151,2025-03-12 17:11:32+00:00,2025-03-12 17:29:32+00:00,18,0.54,electric,82.0,67.0,4.34,none,payg
EB-AMS-002575,NL,Amsterdam,324,77,2024-05-21 19:06:43+00:00,2024-05-21 19:24:43+00:00,18,1.73,mechanical,,,2.74,none,standard
EB-STO-002154,SE,Stockholm,728,759,2025-09-24 19:28:52+00:00,2025-09-24 19:37:52+00:00,9,0.3,electric,86.0,79.0,2.71,none,payg
EB-BER-001032,DE,Berlin,679,383,2024-10-28 18:17:15+00:00,2024-10-28 18:33:15+00:00,16,1.55,mechanical,,,4.04,accident_minor,standard
EB-MAD-000593,ES,Madrid,284,296,2024-10-18 00:09:14+00:00,2024-10-18 00:44:14+00:00,35,1.3,mechanical,,,8.73,none,payg
EB-HEL-001841,FI,Helsinki,574,329,2025-01-25 06:30:38+00:00,2025-01-25 06:45:38+00:00,15,1.5,mechanical,,,1.9,none,standard
EB-HEL-002093,FI,Helsinki,74,251,2025-01-19 09:38:20+00:00,2025-01-19 09:43:20+00:00,5,1.0,electric,66.0,62.0,1.18,none,standard
EB-HEL-000294,FI,Helsinki,69,312,2025-07-24 12:30:24+00:00,2025-07-24 12:33:24+00:00,3,1.0,mechanical,,,0.49,none,standard
EB-MUC-004493,DE,Munich,645,80,2024-10-20 14:18:44+00:00,2024-10-20 14:38:44+00:00,20,2.2,electric,26.0,9.0,6.13,none,standard
EB-LIS-000396,PT,Lisbon,306,117,2024-11-17 23:07:49+00:00,2024-11-17 23:45:49+00:00,38,3.64,electric,76.0,54.0,10.03,none,standard
EB-VIE-002442,AT,Vienna,427,768,2025-11-11 09:09:00+00:00,2025-11-11 09:14:00+00:00,5,0.6,electric,85.0,81.0,1.44,none,plus
EB-ROM-000362,IT,Rome,499,96,2025-04-01 03:52:56+00:00,2025-04-01 04:02:56+00:00,10,0.6,mechanical,,,2.1,none,plus
EB-MAD-001631,ES,Madrid,669,252,2024-02-10 17:15:04+00:00,2024-02-10 17:31:04+00:00,16,1.88,electric,74.0,53.0,5.36,none,standard
EB-ATH-001202,GR,Athens,647,752,2025-05-01 00:04:25+00:00,2025-05-01 00:27:25+00:00,23,0.94,electric,59.0,37.0,7.43,none,payg
EB-PAR-004773,FR,Paris,445,56,2024-05-26 15:46:05+00:00,2024-05-26 15:49:05+00:00,3,0.66,electric,70.0,68.0,0.87,none,plus
